date,네이버,삼성전자,카카오,현대차
2020-01-02,182500.0,55200.0,30500.0,118000.0
2020-01-03,181500.0,55500.0,30500.0,116000.0
2020-01-06,180500.0,55500.0,30900.0,116000.0
2020-01-07,187000.0,55800.0,32000.0,115500.0
2020-01-08,183000.0,56800.0,31900.0,112000.0
2020-01-09,186000.0,58600.0,32800.0,111500.0
2020-01-10,188000.0,59500.0,33000.0,113500.0
2020-01-13,188000.0,60000.0,33400.0,115000.0
2020-01-14,190500.0,60000.0,33400.0,116000.0
2020-01-15,191500.0,59000.0,34000.0,115000.0
2020-01-16,191500.0,60700.0,34300.0,118500.0
2020-01-17,191000.0,61300.0,33700.0,118500.0
2020-01-20,187500.0,62400.0,33700.0,118000.0
2020-01-21,182000.0,61400.0,33000.0,117000.0
2020-01-22,186000.0,62300.0,33200.0,127000.0
2020-01-23,183000.0,60800.0,33100.0,130500.0
2020-01-28,178500.0,58800.0,32500.0,131000.0
2020-01-29,180000.0,59100.0,32700.0,131000.0
2020-01-30,180000.0,57200.0,32400.0,127500.0
2020-01-31,179500.0,56400.0,31800.0,125000.0
2020-02-03,177500.0,57200.0,31900.0,123500.0
2020-02-04,180500.0,58900.0,32900.0,124000.0
2020-02-05,181500.0,59500.0,32600.0,124000.0
2020-02-06,181500.0,61100.0,33200.0,132000.0
2020-02-07,185000.0,60400.0,33500.0,131000.0
2020-02-10,183500.0,59700.0,33800.0,130000.0
2020-02-11,184500.0,59900.0,34000.0,132500.0
2020-02-12,185000.0,60500.0,34400.0,136000.0
2020-02-13,184500.0,60700.0,35800.0,133000.0
2020-02-14,186500.0,61800.0,36000.0,133500.0
2020-02-17,188500.0,61500.0,36100.0,135500.0
2020-02-18,186500.0,59800.0,36400.0,132500.0
2020-02-19,189500.0,60200.0,38000.0,131500.0
2020-02-20,190000.0,60000.0,38100.0,130000.0
2020-02-21,189500.0,59200.0,37900.0,128000.0
2020-02-24,184000.0,56800.0,36700.0,122500.0
2020-02-25,190500.0,57900.0,37100.0,122500.0
2020-02-26,187000.0,56500.0,36800.0,122500.0
2020-02-27,182000.0,55900.0,35700.0,121000.0
2020-02-28,174000.0,54200.0,34400.0,115000.0
2020-03-02,175000.0,55000.0,35000.0,113500.0
2020-03-03,175000.0,55400.0,35000.0,112500.0
2020-03-04,178500.0,57400.0,35900.0,113000.0
2020-03-05,181000.0,57800.0,35900.0,114000.0
2020-03-06,179500.0,56500.0,35100.0,110500.0
2020-03-09,168000.0,54200.0,33500.0,104000.0
2020-03-10,172000.0,54600.0,34600.0,102000.0
2020-03-11,170000.0,52100.0,33800.0,100000.0
2020-03-12,166500.0,50800.0,32200.0,95000.0
2020-03-13,166000.0,49950.0,31800.0,87200.0
2020-03-16,155000.0,48900.0,29500.0,82900.0
2020-03-17,151000.0,47300.0,29500.0,80100.0
