,code,2nd_code,std_price,name
0,A000250,1,50900,삼천당제약
1,A000440,1,18950,중앙에너비스
2,A001000,1,2795,신라섬유
3,A001540,1,11600,안국약품
4,A001810,1,3605,무림SP
5,A001840,1,7340,이화공영
6,A002230,1,5060,피에스텍
7,A002290,1,8610,삼일기업공사
8,A002680,1,1475,한탑
9,A002800,1,8250,신신제약
10,A003100,1,52000,선광
11,A003310,1,2340,대주산업
12,A003380,1,9540,하림지주
13,A003800,1,51000,에이스침대
14,A004590,1,7090,한국가구
15,A004650,1,14000,창해에탄올
16,A004780,1,6130,대륙제관
17,A005160,1,3975,동국산업
18,A005290,1,29450,동진쎄미켐
19,A005670,1,9600,푸드웰
20,A005710,1,6940,대원산업
21,A005860,1,2075,한일사료
22,A005990,1,10150,매일홀딩스
23,A006050,1,2185,국영지앤엠
24,A006140,1,8980,피제이전자
25,A006580,1,3260,대양제지
26,A006620,1,8930,동구바이오제약
27,A006730,1,9590,서부T&D
28,A006910,1,4205,보성파워텍
29,A006920,1,6480,모헨즈
30,A007330,1,12700,푸른저축은행
31,A007370,1,7250,진양제약
32,A007390,1,21750,네이처셀
33,A007530,1,3335,영신금속
34,A007680,1,10150,대원
35,A007720,1,1385,대명소노시즌
36,A007770,1,17650,한일화학
37,A007820,1,8060,에스엠코어
38,A008290,1,1550,원풍물산
39,A008370,1,8450,원풍
40,A008470,1,6390,부스타
41,A008830,1,7270,대동기어
42,A009300,1,23500,삼아제약
43,A009520,1,8090,포스코엠텍
44,A009620,1,2110,삼보산업
45,A009730,1,0,코센
46,A009780,1,6970,엠에스씨
47,A010170,1,3330,대한광통신
48,A010240,1,9380,흥국
49,A010280,1,1100,쌍용정보통신
50,A010470,1,7670,오리콤
51,A011040,1,11050,경동제약
52,A011080,1,1455,형지I&C
53,A011320,1,7800,유니크
54,A011370,1,2270,서한
55,A011560,1,6420,세보엠이씨
56,A012340,1,3770,뉴인텍
57,A012620,1,16650,원일특강
58,A012700,1,10000,리드코프
59,A012790,1,16250,신일제약
60,A012860,1,2055,모베이스전자
61,A013030,1,17350,하이록코리아
62,A013120,1,5990,동원개발
63,A013310,1,3510,아진산업
64,A013720,1,3635,CBI
