,code,2nd_code,std_price,name
0,A000020,1,15050,동화약품
1,A000040,1,1065,KR모터스
2,A000050,1,13800,경방
3,A000060,1,30350,메리츠화재
4,A000070,1,126000,삼양홀딩스
5,A000075,1,73800,삼양홀딩스우
6,A000080,1,34050,하이트진로
7,A000087,1,21300,하이트진로2우B
8,A000100,1,64500,유한양행
9,A000105,1,60000,유한양행우
10,A000120,1,169000,CJ대한통운
11,A000140,1,14400,하이트진로홀딩스
12,A000145,1,17600,하이트진로홀딩스우
13,A000150,1,100000,두산
14,A000155,1,69300,두산우
15,A000157,1,125500,두산2우B
16,A000180,1,2740,성창기업지주
17,A000210,1,72200,DL
18,A000215,1,44500,DL우
19,A000220,1,8330,유유제약
20,A000225,1,10650,유유제약1우
21,A000227,1,24650,유유제약2우B
22,A000230,1,13350,일동홀딩스
23,A000240,1,16550,한국앤컴퍼니
24,A000270,1,84100,기아
25,A000300,1,1420,대유플러스
26,A000320,1,13150,노루홀딩스
27,A000325,1,50600,노루홀딩스우
28,A000370,1,4430,한화손해보험
29,A000390,1,10600,삼화페인트
30,A000400,1,1835,롯데손해보험
31,A000430,1,4260,대원강업
32,A000480,1,90600,조선내화
33,A000490,1,10850,대동
34,A000500,1,29200,가온전선
35,A000520,1,9110,삼일제약
36,A000540,1,3875,흥국화재
37,A000545,1,9240,흥국화재우
38,A000547,1,29000,흥국화재2우B
39,A000590,1,64000,CS홀딩스
40,A000640,1,120500,동아쏘시오홀딩스
41,A000650,1,70100,천일고속
42,A000660,1,107000,SK하이닉스
43,A000670,1,718000,영풍
44,A000680,1,4135,LS네트웍스
45,A000700,1,6090,유수홀딩스
46,A000720,1,56200,현대건설
47,A000725,1,189000,현대건설우
48,A000760,1,18550,이화산업
49,A000810,1,227500,삼성화재
50,A000815,1,172000,삼성화재우
51,A000850,1,38050,화천기공
52,A000860,1,27100,강남제비스코
53,A000880,1,35050,한화
54,A000885,1,42800,한화우
55,A00088K,1,16700,한화3우B
56,A000890,1,1020,보해양조
57,A000910,1,6500,유니온
58,A000950,1,45050,전방
59,A000970,1,10550,한국주철관
60,A000990,1,57600,DB하이텍
61,A000995,1,110500,DB하이텍1우
62,A001020,1,2465,페이퍼코리아
63,A001040,1,104000,CJ
64,A001045,1,62500,CJ우
65,A00104K,1,83100,CJ4우(전환)
66,A001060,1,26400,JW중외제약
67,A001065,1,35600,JW중외제약우
68,A001067,1,62000,JW중외제약2우B
69,A001070,1,43850,대한방직
70,A001080,1,22350,만호제강
71,A001120,1,29700,LX인터내셔널
72,A001130,1,169500,대한제분
73,A001140,1,1475,국보
74,A001200,1,3970,유진투자증권
75,A001210,1,3645,금호전기
